ad_title,ad_description,details,slug,title,type,price,timestamp,posted_date,deactivation_date,category,parent_category,location,geo_region,area,is_delivery_free,is_doorstep_delivery,is_dsd_applicable,is_member,is_authorized_dealer,is_featured_member,is_verified,membership_level,member_since,properties,user,price_clean,sqft,price_per_sqft,city_clean
apartment for sale in colombo 05 | ikman,"Project: Aquaria by Access Residencies.

Sq.Ft. Area: 1363

beds: 03
baths: 02
kitchen/pantry
living/dining
maids room and washroom

Available units: 01","Bedrooms: 3, Bathrooms: 2",apartment-for-sale-in-colombo-05-for-sale-colombo-73,apartment for sale in colombo 05,for_sale,"Rs 59,500,000",16 Feb 2:38 pm,2023-02-16T14:38:34+05:30,2022-01-31T04:43:32.000Z,Apartments For Sale,Property,Colombo 5,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,True,plus,October 2016,"{'Address': 'kirimandala mawatha, colombo 05.', 'Bedrooms': '3', 'Bathrooms': '2', 'Size': '1,363 sqft'}",2a36021370cdd0f50da19f64d17ad43be687d48568ec1295c7f0953c91cc590a,59500000.0,1363.0,43653.70506236244,Colombo 5
Super Luxury Apartment for Sale in Astoria Colombo 03 Ref Za104 | ikman,"ðSuper Luxury Apartment For Sale in Astoria  Duplication Rd, Colombo 03.
ð²3 Bedroom 
ð²3 Bath Rooms 
ð²1581 SQFT
ð²Servant Room and washroom 
ð²Bamboo Floor
ð²Swimming...","Bedrooms: 3, Bathrooms: 3",super-luxury-apartment-for-sale-in-astoria-colombo-03-ref-za104-for-sale-colombo,Super Luxury Apartment for Sale in Astoria Colombo 03 Ref Za104,for_sale,"Rs 90,000,000",28 Jan 10:37 pm,2023-01-28T22:37:54+05:30,2022-01-29T12:21:15.000Z,Apartments For Sale,Property,Colombo 3,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,True,premium,February 2021,"{'Address': 'Duplication Rd,Colombo 03', 'Bedrooms': '3', 'Bathrooms': '3', 'Size': '1,581 sqft'}",765b8447b8c0b5fd5027da030129879e06ca0e744dc8da21b44f8b7f29ff7305,90000000.0,1581.0,56925.99620493359,Colombo 3
Apartment for Sale in Colombo 03 | ikman,"03 bedroom Blue Ocean Apartment at Colombo 03

With 1440 sq ft 

Features,
â 03 bedrooms with balconies, 
â 02 bathrooms, 
â Living area, 
â Dining area, 
â Spacious mode...","Bedrooms: 3, Bathrooms: 2",apartment-for-sale-in-colombo-03-for-sale-colombo-136,Apartment for Sale in Colombo 03,for_sale,"Rs 85,000,000",27 Jan 9:00 am,2023-01-27T09:00:50+05:30,2022-05-29T08:30:30.000Z,Apartments For Sale,Property,Colombo 3,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,True,premium,August 2016,"{'Address': 'Blue Ocean Apartment - Colombo 03', 'Bedrooms': '3', 'Bathrooms': '2', 'Size': '1,440 sqft'}",147c45b684bfeae3e3ffb0397b126d4e67392ad600e254948cbee5cb32f326bf,85000000.0,1440.0,59027.77777777778,Colombo 3
Brand New 03 Apartment for Sale in Nugegoda | ikman,"Apartment Building 

3 apartments 
6 bedrooms
5 bathrooms

Each floors has 1 apartmemt(1450 sqft) with 02  Bedrooms, Hall, Kitchen & Washroom
fully furnished

Each floor...","Bedrooms: 6, Bathrooms: 5",brand-new-03-apartment-for-sale-in-nugegoda-for-sale-colombo-2,Brand New 03 Apartment for Sale in Nugegoda,for_sale,"Rs 65,000,000",01 Feb 9:27 am,2023-02-01T09:27:12+05:30,2022-03-30T02:06:28.000Z,Apartments For Sale,Property,Nugegoda,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,True,premium,July 2016,"{'Address': 'Nugegoda', 'Bedrooms': '6', 'Bathrooms': '5', 'Size': '4,350 sqft'}",8fd0cadb83d99e493b38b9d904e24ce91a73820f27b78e00a1ff6e7b7f0cd72c,65000000.0,4350.0,14942.528735632184,Nugegoda
Apartment for sale in Battaramulla | ikman,"Apartment for Sale in "" Fairway Koswatta "" Apartment in Battaramulla

Features
â 03 bedrooms (all rooms with AC)
â 02 bathrooms
â Large hall with balcony
â Dining area
â...","Bedrooms: 3, Bathrooms: 2",apartment-for-sale-in-battaramulla-for-sale-colombo-46,Apartment for sale in Battaramulla,for_sale,"Rs 36,000,000",27 Jan 9:00 am,2023-01-27T09:00:44+05:30,2022-03-29T11:10:39.000Z,Apartments For Sale,Property,Battaramulla,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,True,premium,August 2016,"{'Address': 'Fairway Koswatta, Battaramulla', 'Bedrooms': '3', 'Bathrooms': '2', 'Size': '1,130 sqft'}",147c45b684bfeae3e3ffb0397b126d4e67392ad600e254948cbee5cb32f326bf,36000000.0,1130.0,31858.40707964602,Battaramulla
Apartment for Sale in Havelock City | ikman.lk,"INVESTMENT OPPORTUNITY 

WITH A RENTAL IN COME OF RS 230,000

FOR SALE 

AT Havelock City ""Stratford  Tower""  garden view 

â¼ 1119 sq. ft 
	
â¼ Apartment Features
â 02 bed...","Bedrooms: 2, Bathrooms: 2",apartment-for-sale-in-havelock-city-for-sale-colombo-33,Apartment for Sale in Havelock City,for_sale,"Rs 80,000,000",24 Nov 3:42 pm,2022-11-24T15:42:24+05:30,2022-07-23T05:48:00.000Z,Apartments For Sale,Property,Colombo 5,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,True,premium,August 2016,"{'Address': 'Stratford  Tower, Havelock City', 'Bedrooms': '2', 'Bathrooms': '2', 'Size': '1,119 sqft'}",147c45b684bfeae3e3ffb0397b126d4e67392ad600e254948cbee5cb32f326bf,80000000.0,1119.0,71492.40393208222,Colombo 5
Luxury Apartment Sale At Mulberry Residencies - Colombo 10 | ikman.lk,"With private balconies and uninterrupted views across Colombo, roof-tops gardens,
A Gymnasium and swimming pools, secure parking, a backup generator, state-of-the-art lif...","Bedrooms: 2, Bathrooms: 2",luxury-apartment-sale-at-mulberry-residencies-colombo-10-for-sale-colombo,Luxury Apartment Sale At Mulberry Residencies - Colombo 10,for_sale,"Rs 33,000,000",08 Nov 1:13 pm,2022-11-08T13:13:46+05:30,2022-05-17T17:59:24.000Z,Apartments For Sale,Property,Colombo 10,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,True,True,plus,December 2021,"{'Bedrooms': '2', 'Bathrooms': '2', 'Size': '989 sqft'}",a36525f9537b8b5131b01cfe76566528905efc41d0f637c53def5273df4bac80,33000000.0,989.0,33367.03741152679,Colombo 10
Brand New Luxury Apartment For Sale in Mount Lavinia | ikman.lk,"Brand New Luxury Apartment For Sale in Dehiwela
3 Bedroom
2 Bathroom
Servant Washroom
Unfurnished
Fully sea view
Elavator Facilities 2
Car park slot
Backup generator
Swim...","Bedrooms: 3, Bathrooms: 3",brand-new-luxury-apartment-for-sale-in-mount-lavinia-for-sale-colombo-25,Brand New Luxury Apartment For Sale in Mount Lavinia,for_sale,"Rs 37,000,000",29 Nov 11:19 pm,2022-11-29T23:19:22+05:30,2022-07-31T17:52:31.000Z,Apartments For Sale,Property,Mount Lavinia,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,True,premium,February 2021,"{'Address': 'Udaya Mawatta, Templers Road', 'Bedrooms': '3', 'Bathrooms': '3', 'Size': '1,465 sqft'}",765b8447b8c0b5fd5027da030129879e06ca0e744dc8da21b44f8b7f29ff7305,37000000.0,1465.0,25255.972696245735,Mount Lavinia
Brand New Luxury Apartment For Sale in Dehiwela | ikman,"Brand New Luxury Apartment For Sale in Dehiwela
3 Bedroom
2 Bathroom
Servant Washroom
Unfurnished
Fully sea view
Elavator Facilities 2
Car park slot
Backup generator
Imme...","Bedrooms: 3, Bathrooms: 3",brand-new-luxury-apartment-for-sale-in-dehiwela-for-sale-colombo-18,Brand New Luxury Apartment For Sale in Dehiwela,for_sale,"Rs 43,000,000",29 Jan 1:04 pm,2023-01-29T13:04:30+05:30,2022-07-31T17:50:16.000Z,Apartments For Sale,Property,Dehiwala,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,True,premium,February 2021,"{'Address': 'De Alwis Place', 'Bedrooms': '3', 'Bathrooms': '3', 'Size': '1,250 sqft'}",765b8447b8c0b5fd5027da030129879e06ca0e744dc8da21b44f8b7f29ff7305,43000000.0,1250.0,34400.0,Dehiwala
Super Luxury Apartment For Sale in Colombo 3 | ikman,"Super Luxury Apartment For Sale in Colombo 3
3 Bedroom
2 Bathroom
Servant Room and Washroom
1500 Squft
UnFurnished
Fully Air-conditioned
Higher Floor
Swimming pool and Ro...","Bedrooms: 3, Bathrooms: 3",super-luxury-apartment-for-sale-in-colombo-3-for-sale-colombo-1,Super Luxury Apartment For Sale in Colombo 3,for_sale,"Rs 55,000,000",30 Jan 7:57 pm,2023-01-30T19:57:04+05:30,2022-04-04T10:57:26.000Z,Apartments For Sale,Property,Colombo 3,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,True,premium,February 2021,"{'Address': ""St Anthony's Mawatta"", 'Bedrooms': '3', 'Bathrooms': '3', 'Size': '1,500 sqft'}",765b8447b8c0b5fd5027da030129879e06ca0e744dc8da21b44f8b7f29ff7305,55000000.0,1500.0,36666.666666666664,Colombo 3
