city_clean,avg_price_per_sqft,listing_count
Angoda,16132.44285365795,4
Athurugiriya,24682.467362786698,232
Battaramulla,32554.611845262993,63
Boralesgamuwa,28013.129364154538,9
Colombo 10,33377.67209112504,49
Colombo 12,21482.542794895737,5
Colombo 13,23354.539108748464,3
Colombo 14,13730.731533458078,3
Colombo 15,27607.989924055106,27
Colombo 2,62377.56543493465,397
Colombo 3,51001.24895707789,507
Colombo 4,36712.55797996644,209
Colombo 5,50494.040180717966,559
Colombo 6,35194.4651381671,460
Colombo 7,60353.34434981411,112
Colombo 8,39239.83073056224,143
Colombo 9,25895.219767358012,26
Dehiwala,29029.65717496652,423
Galle City,26174.469484130746,15
Gampaha City,20016.919029632696,21
Homagama,17231.390818461994,59
Kadawatha,22184.7442680776,4
Kandana,44146.84184364539,3
Kandy City,28203.828828828828,4
Kelaniya,23347.176812360496,9
Kiribathgoda,20356.143294627876,5
Kolonnawa,18241.21436464322,3
Kottawa,22181.681601658307,75
Kotte,35138.7463757733,44
Malabe,27597.847339953307,46
Moratuwa,18720.898491030584,43
Mount Lavinia,25749.03860733771,278
Nawala,40037.42032362454,27
Negombo,24539.634348736243,3
Nugegoda,30378.707110568423,108
Nuwara Eliya City,36329.67485711254,8
Pannipitiya,32857.142857142855,5
Piliyandala,23315.507127596993,10
Ragama,29535.864978902955,3
Rajagiriya,44819.54543117303,544
Ratmalana,21681.9385428053,8
Talawatugoda,26715.47196597465,60
Veyangoda,7598.343685300207,7
Wattala,30048.900184420992,33
